Protein1,Protein2,Score
sp|P00001|PROT001_HUMAN,sp|P00016|PROT016_HUMAN,0.999
sp|P00001|PROT001_HUMAN,sp|P00076|PROT076_HUMAN,0.999
sp|P00001|PROT001_HUMAN,sp|P00136|PROT136_HUMAN,0.999
sp|P00001|PROT001_HUMAN,sp|P00196|PROT196_HUMAN,0.999
sp|P00002|PROT002_HUMAN,sp|P00015|PROT015_HUMAN,0.999
sp|P00002|PROT002_HUMAN,sp|P00075|PROT075_HUMAN,0.999
sp|P00002|PROT002_HUMAN,sp|P00135|PROT135_HUMAN,0.999
sp|P00002|PROT002_HUMAN,sp|P00195|PROT195_HUMAN,0.999
sp|P00003|PROT003_HUMAN,sp|P00014|PROT014_HUMAN,0.999
sp|P00003|PROT003_HUMAN,sp|P00074|PROT074_HUMAN,0.999
sp|P00003|PROT003_HUMAN,sp|P00134|PROT134_HUMAN,0.999
sp|P00003|PROT003_HUMAN,sp|P00194|PROT194_HUMAN,0.999
sp|P00004|PROT004_HUMAN,sp|P00013|PROT013_HUMAN,0.999
sp|P00004|PROT004_HUMAN,sp|P00073|PROT073_HUMAN,0.999
sp|P00004|PROT004_HUMAN,sp|P00133|PROT133_HUMAN,0.999
sp|P00004|PROT004_HUMAN,sp|P00193|PROT193_HUMAN,0.999
sp|P00005|PROT005_HUMAN,sp|P00012|PROT012_HUMAN,0.999
sp|P00005|PROT005_HUMAN,sp|P00072|PROT072_HUMAN,0.999
sp|P00005|PROT005_HUMAN,sp|P00132|PROT132_HUMAN,0.999
sp|P00005|PROT005_HUMAN,sp|P00192|PROT192_HUMAN,0.999
sp|P00006|PROT006_HUMAN,sp|P00011|PROT011_HUMAN,0.999
sp|P00006|PROT006_HUMAN,sp|P00071|PROT071_HUMAN,0.999
sp|P00006|PROT006_HUMAN,sp|P00131|PROT131_HUMAN,0.999
sp|P00006|PROT006_HUMAN,sp|P00191|PROT191_HUMAN,0.999
sp|P00007|PROT007_HUMAN,sp|P00010|PROT010_HUMAN,0.999
sp|P00007|PROT007_HUMAN,sp|P00070|PROT070_HUMAN,0.999
sp|P00007|PROT007_HUMAN,sp|P00130|PROT130_HUMAN,0.999
sp|P00007|PROT007_HUMAN,sp|P00190|PROT190_HUMAN,0.999
sp|P00007|PROT007_HUMAN,sp|P00250|PROT250_HUMAN,0.999
sp|P00008|PROT008_HUMAN,sp|P00009|PROT009_HUMAN,0.999
sp|P00008|PROT008_HUMAN,sp|P00069|PROT069_HUMAN,0.999
sp|P00008|PROT008_HUMAN,sp|P00129|PROT129_HUMAN,0.999
sp|P00008|PROT008_HUMAN,sp|P00189|PROT189_HUMAN,0.999
sp|P00008|PROT008_HUMAN,sp|P00249|PROT249_HUMAN,0.999
sp|P00009|PROT009_HUMAN,sp|P00068|PROT068_HUMAN,0.999
sp|P00009|PROT009_HUMAN,sp|P00128|PROT128_HUMAN,0.999
sp|P00009|PROT009_HUMAN,sp|P00188|PROT188_HUMAN,0.999
sp|P00009|PROT009_HUMAN,sp|P00248|PROT248_HUMAN,0.999
sp|P00010|PROT010_HUMAN,sp|P00067|PROT067_HUMAN,0.999
sp|P00010|PROT010_HUMAN,sp|P00127|PROT127_HUMAN,0.999
sp|P00010|PROT010_HUMAN,sp|P00187|PROT187_HUMAN,0.999
sp|P00010|PROT010_HUMAN,sp|P00247|PROT247_HUMAN,0.999
sp|P00011|PROT011_HUMAN,sp|P00066|PROT066_HUMAN,0.999
sp|P00011|PROT011_HUMAN,sp|P00126|PROT126_HUMAN,0.999
sp|P00011|PROT011_HUMAN,sp|P00186|PROT186_HUMAN,0.999
sp|P00011|PROT011_HUMAN,sp|P00246|PROT246_HUMAN,0.999
sp|P00012|PROT012_HUMAN,sp|P00065|PROT065_HUMAN,0.999
sp|P00012|PROT012_HUMAN,sp|P00125|PROT125_HUMAN,0.999
sp|P00012|PROT012_HUMAN,sp|P00185|PROT185_HUMAN,0.999
sp|P00012|PROT012_HUMAN,sp|P00245|PROT245_HUMAN,0.999
sp|P00013|PROT013_HUMAN,sp|P00064|PROT064_HUMAN,0.999
